Departure time,Price,Travel time,Airline
10:35 AM,£506,16 hr 40 min,Tap Air Portugal
9:20 PM,£581,11 hr 45 min,LATAMVirgin AtlanticOperated by Latam Airlines Brasil
10:20 PM,£581,11 hr 40 min,British Airways
8:00 AM,£436,38 hr 35 min,Tap Air Portugal
7:50 PM,£436,37 hr 55 min,Tap Air Portugal
12:00 PM,£442,45 hr 45 min,Tap Air Portugal
12:00 PM,£442,45 hr 45 min,Tap Air Portugal
4:40 PM,£478,33 hr 40 min,Royal Air Maroc
5:00 PM,£517,33 hr 40 min,ITA
9:15 PM,£538,46 hr 45 min,"Tap Air Portugal, Azul"
5:25 PM,£544,16 hr 10 min,Air Europa
8:00 AM,£550,14 hr 35 min,Tap Air Portugal
11:20 AM,£550,15 hr 55 min,Tap Air Portugal
9:00 AM,£551,25 hr 5 min,"Air France, Gol"
6:45 PM,£567,14 hr 30 min,"Iberia, LATAMOperated by Latam Airlines Group"
10:35 AM,£506,16 hr 40 min,Tap Air Portugal
9:20 PM,£581,11 hr 45 min,LATAMVirgin AtlanticOperated by Latam Airlines Brasil
10:20 PM,£581,11 hr 40 min,British Airways
8:00 AM,£436,38 hr 35 min,Tap Air Portugal
7:50 PM,£436,37 hr 55 min,Tap Air Portugal
12:00 PM,£442,45 hr 45 min,Tap Air Portugal
12:00 PM,£442,45 hr 45 min,Tap Air Portugal
4:40 PM,£478,33 hr 40 min,Royal Air Maroc
5:00 PM,£517,33 hr 40 min,ITA
9:15 PM,£538,46 hr 45 min,"Tap Air Portugal, Azul"
5:25 PM,£544,16 hr 10 min,Air Europa
8:00 AM,£550,14 hr 35 min,Tap Air Portugal
11:20 AM,£550,15 hr 55 min,Tap Air Portugal
9:00 AM,£551,25 hr 5 min,"Air France, Gol"
6:45 PM,£567,14 hr 30 min,"Iberia, LATAMOperated by Latam Airlines Group"
